"id","hotel_id","room_id","num_rooms"
1,1,6,35
2,1,1,22
3,1,7,54
4,1,2,26
5,1,3,25
6,1,4,1
7,1,5,1
8,3,6,18
9,3,1,49
10,3,7,66
11,3,2,16
12,3,3,30
13,3,4,3
14,3,5,2
15,4,6,40
16,4,1,37
17,4,7,51
18,4,2,15
19,4,3,12
20,4,4,7
21,4,5,2
22,5,6,64
23,5,1,24
24,5,7,66
25,5,2,16
26,5,3,11
27,5,5,2
28,6,6,60
29,6,1,23
30,6,7,63
31,6,2,37
32,6,3,23
33,6,4,2
34,7,6,43
35,7,1,37
36,7,7,50
37,7,2,30
38,7,3,2
39,7,4,6
40,7,5,2
41,8,6,19
42,8,1,24
43,8,7,61
44,8,2,10
45,8,3,22
46,8,4,8
47,8,5,1
48,9,6,24
49,9,1,36
50,9,7,59
51,9,2,34
52,9,3,2
53,9,5,1
54,10,6,55
55,10,1,43
56,10,7,49
57,10,2,35
58,10,3,29
59,10,4,6
60,10,5,2
61,11,6,36
62,11,1,46
63,11,7,44
64,11,2,26
65,11,3,11
66,11,4,2
67,11,5,1
68,12,6,64
69,12,1,39
70,12,7,63
71,12,2,16
72,12,3,1
73,12,4,5
74,12,5,1
75,13,6,11
76,13,1,42
77,13,7,25
78,13,2,39
79,13,3,16
80,13,5,2
81,14,6,27
82,14,1,50
83,14,7,48
84,14,2,11
85,14,3,30
86,14,4,8
87,14,5,1
88,15,6,36
89,15,1,20
90,15,7,25
91,15,2,13
92,15,3,23
93,15,4,1
94,15,5,1
95,16,6,43
96,16,1,43
97,16,7,21
98,16,2,40
99,16,3,23
100,16,4,6
101,17,6,42
102,17,1,24
103,17,7,53
104,17,2,12
105,17,3,5
106,17,4,5
107,18,6,50
108,18,1,37
109,18,7,70
110,18,2,26
111,18,3,27
112,18,4,4
113,18,5,2
114,19,6,30
115,19,1,47
116,19,7,22
117,19,2,36
118,19,3,6
119,19,4,8
120,20,6,22
121,20,1,35
122,20,7,41
123,20,2,21
124,20,3,8
125,20,4,6
126,20,5,2
127,21,6,12
128,21,1,47
129,21,7,26
130,21,2,36
131,21,3,15
132,21,4,7
133,21,5,2
134,22,6,47
135,22,1,26
136,22,7,29
137,22,2,15
138,22,3,20
139,22,5,2
140,23,6,19
141,23,1,35
142,23,7,44
143,23,2,36
144,23,3,2
145,23,4,3
146,23,5,2
147,24,6,23
148,24,1,25
149,24,7,39
150,24,2,17
151,24,3,17
152,24,4,8
153,24,5,2
154,25,6,36
155,25,1,43
156,25,7,26
157,25,2,36
158,25,3,16
159,25,4,2
160,25,5,1
161,26,6,30
162,26,1,45
163,26,7,44
164,26,2,18
165,26,3,14
166,26,4,4
167,27,6,46
168,27,1,25
169,27,7,28
170,27,2,38
171,27,3,4
172,27,4,8
173,27,5,1
174,28,6,42
175,28,1,35
176,28,7,47
177,28,2,28
178,28,3,27
179,28,4,6
180,28,5,1
181,30,5,2
182,30,4,10
183,30,1,40
184,30,2,22
185,30,3,35
186,30,7,52
187,30,6,60
188,31,1,20
189,31,2,40
190,31,3,25
191,31,6,28
192,31,7,43
